Topic,ID,Start Time,File Size (MB),File Count,Total Views,Total Downloads,Last Accessed,Auto Delete Status,Auto Delete Date
Tuhfa Reading,893 556 039,"Dec 22, 2021 08:00:11 PM",122.6925,3,0,4,"Apr 9, 2023 11:02:19 AM",false,
Tuhfa Reading,893 556 039,"Dec 15, 2021 07:59:48 PM",186.8812,3,0,4,"Apr 9, 2023 11:02:21 AM",false,
Tuhfa Reading,893 556 039,"Dec 8, 2021 07:58:43 PM",197.4594,3,0,5,"Apr 9, 2023 11:02:22 AM",false,
Tuhfa Reading,893 556 039,"Dec 1, 2021 07:57:52 PM",64.1685,3,0,4,"Apr 9, 2023 11:02:24 AM",false,
Tuhfa Reading,893 556 039,"Nov 24, 2021 08:01:34 PM",187.6381,3,0,5,"Apr 9, 2023 11:02:26 AM",false,
Tuhfa Reading,893 556 039,"Nov 17, 2021 07:00:27 PM",216.1733,3,0,5,"Apr 9, 2023 11:02:28 AM",false,
Tuhfa Reading,893 556 039,"Nov 10, 2021 06:59:45 PM",85.6570,3,0,4,"Apr 9, 2023 11:02:29 AM",false,
Tuhfa Reading,893 556 039,"Nov 3, 2021 07:58:38 PM",220.4015,3,0,5,"Apr 9, 2023 11:01:41 AM",false,
Tuhfa Reading,893 556 039,"Oct 27, 2021 08:00:22 PM",190.1746,3,0,5,"Apr 9, 2023 11:01:42 AM",false,
Tuhfa Reading,893 556 039,"Oct 20, 2021 08:01:01 PM",187.1779,2,0,5,"Apr 9, 2023 11:01:44 AM",false,
Tuhfa Reading,893 556 039,"Oct 13, 2021 08:02:22 PM",228.4745,3,0,4,"Apr 9, 2023 11:01:45 AM",false,
Tuhfa Reading,893 556 039,"Oct 6, 2021 08:00:34 PM",234.5473,3,0,5,"Apr 9, 2023 11:01:46 AM",false,
Tuhfa Reading,893 556 039,"Sep 22, 2021 07:59:27 PM",102.5002,3,0,5,"Apr 9, 2023 11:01:48 AM",false,
Tuhfa Reading,893 556 039,"Sep 15, 2021 08:00:38 PM",172.2987,3,0,5,"Apr 9, 2023 11:01:50 AM",false,
Tuhfa Reading,893 556 039,"Sep 8, 2021 08:01:23 PM",135.0773,3,0,4,"Apr 9, 2023 11:01:51 AM",false,
Tuhfa Reading,893 556 039,"Sep 1, 2021 08:00:36 PM",144.8536,3,0,5,"Apr 9, 2023 11:01:52 AM",false,
Tuhfa Reading,893 556 039,"Aug 25, 2021 08:00:43 PM",210.7862,3,0,5,"Apr 9, 2023 11:01:54 AM",false,
Tuhfa Reading,893 556 039,"Aug 18, 2021 07:58:47 PM",198.9466,2,1,5,"Apr 9, 2023 11:01:55 AM",false,
Tuhfa Reading,893 556 039,"Aug 11, 2021 07:59:47 PM",0.4184,2,0,1,"Apr 9, 2023 11:01:57 AM",false,
Tuhfa Reading,893 556 039,"Aug 4, 2021 08:00:13 PM",0.2685,2,0,1,"Apr 9, 2023 11:01:59 AM",false,
Tuhfa Reading,893 556 039,"Jul 28, 2021 08:02:28 PM",12.8478,2,0,3,"Apr 9, 2023 11:02:00 AM",false,
Tuhfa Reading,893 556 039,"Jul 21, 2021 07:59:21 PM",114.7284,2,0,4,"Apr 9, 2023 11:02:02 AM",false,
Tuhfa Reading,893 556 039,"Jul 14, 2021 08:01:42 PM",132.4765,2,0,5,"Apr 9, 2023 11:01:08 AM",false,
Tuhfa Reading,893 556 039,"Jul 7, 2021 07:58:16 PM",0.2230,2,0,1,"Apr 9, 2023 11:01:10 AM",false,
Tuhfa Reading,893 556 039,"Jun 30, 2021 08:00:01 PM",50.2774,3,0,6,"Apr 9, 2023 11:01:11 AM",false,
Tuhfa Reading,893 556 039,"Jun 23, 2021 08:00:30 PM",7.7304,3,0,1,"Apr 9, 2023 11:01:13 AM",false,
Tuhfa Reading,893 556 039,"Jun 16, 2021 07:57:42 PM",187.7855,3,0,5,"Apr 9, 2023 11:01:14 AM",false,
Tuhfa Reading,893 556 039,"Jun 9, 2021 07:58:43 PM",0.1282,2,0,1,"Apr 9, 2023 11:01:15 AM",false,
Tuhfa Reading,893 556 039,"Jun 2, 2021 07:57:06 PM",171.2832,3,0,4,"Apr 9, 2023 11:01:17 AM",false,
Tuhfa Reading,893 556 039,"May 26, 2021 08:01:14 PM",232.3264,3,0,4,"Apr 9, 2023 11:01:19 AM",false,
Tuhfa Reading,893 556 039,"May 19, 2021 07:58:07 PM",0.0721,2,0,1,"Apr 9, 2023 11:01:21 AM",false,
Tuhfa Reading,893 556 039,"Apr 29, 2021 04:59:19 AM",166.5564,2,0,5,"Apr 9, 2023 11:01:22 AM",false,
Tuhfa Reading,893 556 039,"Apr 22, 2021 05:00:14 AM",157.8695,2,0,5,"Apr 9, 2023 11:01:23 AM",false,
Tuhfa Reading,893 556 039,"Apr 15, 2021 04:58:51 AM",149.8274,3,0,5,"Apr 9, 2023 11:01:25 AM",false,
Tuhfa Reading,893 556 039,"Apr 7, 2021 07:59:01 PM",112.2908,2,0,4,"Apr 9, 2023 11:01:27 AM",false,
Tuhfa Reading,893 556 039,"Mar 31, 2021 07:57:08 PM",154.5328,3,0,4,"Apr 9, 2023 11:01:29 AM",false,
Tuhfa Reading,893 556 039,"Mar 24, 2021 07:59:04 PM",199.5259,2,0,6,"Apr 9, 2023 11:01:31 AM",false,
Tuhfa Reading,893 556 039,"Mar 17, 2021 07:59:52 PM",193.8343,2,0,4,"Apr 9, 2023 11:00:26 AM",false,
Tuhfa Reading,893 556 039,"Mar 10, 2021 06:58:02 PM",148.3486,3,0,4,"Apr 9, 2023 11:00:27 AM",false,
Tuhfa Reading,893 556 039,"Mar 3, 2021 06:59:28 PM",232.8085,3,0,4,"Apr 9, 2023 11:00:29 AM",false,
Tuhfa Reading,893 556 039,"Feb 24, 2021 06:57:33 PM",172.1795,3,0,4,"Apr 9, 2023 11:00:31 AM",false,
Tuhfa Reading,893 556 039,"Feb 17, 2021 07:00:09 PM",0.3535,2,0,2,"Apr 9, 2023 11:00:33 AM",false,
Tuhfa Reading,893 556 039,"Feb 10, 2021 07:00:34 PM",211.5518,2,0,4,"Apr 9, 2023 11:00:35 AM",false,
Tuhfa Reading,893 556 039,"Feb 3, 2021 07:00:44 PM",199.4736,2,0,5,"Apr 9, 2023 11:00:37 AM",false,
